"Nombre equipo";"Unidad";"Tama̱o";"Sistema de arhivos"
"DESKTOP-TM6NMJP";"C:";"47701168128";"NTFS"
"DESKTOP-TM6NMJP";"Z:";"158375231488";"VBoxSharedFolderFS"
